식품명,에너지(㎉),탄수화물(g),단백질(g),지방(g),총당류(g),나트륨(㎎)
족발,582.68,2.32,65.09,34.78,0,861.47
주꾸미볶음,211.41,22.82,18.33,5.2,5.06,918.86
주먹밥,355.16,69.45,9.52,4.36,0.45,713.2
짜장면,529.18,86.22,16.15,13.3,36.43,1843.68
짬뽕,464.46,66.06,22.3,12.34,12.52,1446.06
쫄면,706.96,127.91,17.68,13.84,19.32,1377.01
찜닭,1364.21,139.5,114.2,38.8,66.8,5462.32
총각김치,22.89,3.57,0.98,0.52,1.34,332
추어탕,188.33,10.74,11.33,11.12,0,861.28
칼국수,540.65,104.28,23.09,3.46,0,1542
코다리조림,86.06,4.16,16.46,0.4,3.67,465.52
콩국수,651.57,71.37,31.2,26.81,1.95,532.23
콩나물국,24.66,2.44,2.95,0.35,0.65,874.4
콩나물무침,34.54,1.6,1.93,2.27,0.25,193.59
파김치,13.32,1.26,0.77,0.58,0.45,259.16
파전,292.8,34.81,6.83,14.03,0.79,345.96
피자,548.05,51.07,21.35,28.71,9.69,882.61
한과,119.73,25.47,1.26,1.43,5.07,17.19
해물찜,400.08,35.4,42.6,9.8,5.5,2137.21
호박전,208.1,16.1,6.48,13.09,2.85,276.95
호박죽,197.52,26.3,7.7,6.84,14.24,167.39
홍어무침,198.94,25.95,17.85,2.63,14.46,802.04
황태구이,437.57,26.9,47.8,15.4,14.2,1135.33
회무침,203.95,21.5,20.22,4.12,11.33,686.98
후라이드치킨,530.04,21.29,35.47,33.67,0,386.81
훈제오리,797.14,12.08,43.06,64.07,0.27,1220.37
